pano_id,lat,lng,date,year,filename
m6LXMak-9zVZsViiXZMDDA,19.41760679806719,-99.17856940740616,2024-10,2024,gs_00000_m6LXMak-9zVZsViiXZMDDA
5N22ddnH1NGfzLb857Kadg,19.41801217776016,-99.17834281152984,2024-10,2024,gs_00001_5N22ddnH1NGfzLb857Kadg
Pyy2kpwXx8OULEExN11g2w,19.41841401710427,-99.17811866642444,2024-10,2024,gs_00002_Pyy2kpwXx8OULEExN11g2w
GbOPMIu7FewlbzgiEDqTIg,19.41881476953521,-99.17790711051748,2024-10,2024,gs_00003_GbOPMIu7FewlbzgiEDqTIg
rDyR3OOga-jpNrwEITx62Q,19.41934757734997,-99.17775283727217,2024-10,2024,gs_00004_rDyR3OOga-jpNrwEITx62Q
UuR7W0oUdjZROhyatZMGew,19.41962095890018,-99.17771988738416,2024-10,2024,gs_00005_UuR7W0oUdjZROhyatZMGew
8IM6ygB28zKyRciJ6lTx-g,19.41979281383909,-99.17771388881626,2024-10,2024,gs_00006_8IM6ygB28zKyRciJ6lTx-g
xRdjh__PkmpMgnHnJyfCDA,19.42044119101756,-99.17737087286196,2021-10,2021,gs_00007_xRdjh__PkmpMgnHnJyfCDA
qNHHkFknPMJeNKltNyjYyw,19.42061751347597,-99.17746837035116,2022-09,2022,gs_00008_qNHHkFknPMJeNKltNyjYyw
WYznX0cOLlyiKCJermZtVw,19.42321202454911,-99.17749650439734,2024-10,2024,gs_00009_WYznX0cOLlyiKCJermZtVw
vM06iqo6zAc5aKMuI1zSQQ,19.42066156856609,-99.1773548204271,2022-03,2022,gs_00010_vM06iqo6zAc5aKMuI1zSQQ
nGjky9L1iGiVwJMj8jOFyw,19.42067417652099,-99.17728165515932,2024-12,2024,gs_00011_nGjky9L1iGiVwJMj8jOFyw
4hpmScEMvW2RbEu748F7fg,19.42328943368038,-99.17738658735396,2024-10,2024,gs_00012_4hpmScEMvW2RbEu748F7fg
Az08ljlsXX2GOgNjQ1AfEw,19.42332097496708,-99.1773035371435,2024-10,2024,gs_00013_Az08ljlsXX2GOgNjQ1AfEw
rx22-yIIHcQAgL-hquqlHw,19.42361053508873,-99.17729559541884,2022-10,2022,gs_00014_rx22-yIIHcQAgL-hquqlHw
