epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.17001,1.21121,3.16059,1.45061,0.00364,0.6,0.08479,0.0274,1.14288,3.32359,1.37292,0.0001,0.0001,0.0001
2,9.87256,0.93642,2.72461,1.24401,0.00485,0.8,0.2794,0.17236,0.97027,3.12793,1.20037,0.000217822,0.000217822,0.000217822
3,11.7672,0.92431,1.95181,1.26173,0.03227,0.5,0.16222,0.10204,1.09759,3.07396,1.30203,0.000333268,0.000333268,0.000333268
4,13.7468,0.89245,1.7197,1.21557,0.01505,0.55,0.29024,0.20646,1.15366,3.05361,1.36817,0.000446338,0.000446338,0.000446338
5,15.6348,0.96874,1.71791,1.2623,1,0.2152,0.32697,0.20031,1.09475,2.97571,1.3603,0.000557032,0.000557032,0.000557032
6,17.4914,0.87788,1.62034,1.21087,0.90589,0.35,0.39747,0.25469,1.2505,2.90217,1.37073,0.00066535,0.00066535,0.00066535
7,19.4068,0.96628,1.66988,1.26008,0.73745,0.25,0.32369,0.23543,1.42656,2.93429,1.46415,0.000771292,0.000771292,0.000771292
8,21.2772,0.9094,1.47087,1.20438,0.56872,0.3,0.34914,0.20566,1.41096,2.99276,1.73099,0.000874858,0.000874858,0.000874858
9,23.0755,0.94238,1.52246,1.23617,0.87206,0.34176,0.37221,0.24635,1.47236,2.89046,1.73024,0.000976048,0.000976048,0.000976048
10,24.7851,0.90559,1.38014,1.22363,0.52745,0.4,0.32327,0.2139,1.65685,2.92443,1.91696,0.00107486,0.00107486,0.00107486
11,26.6772,0.9329,1.40321,1.20819,0.56348,0.3,0.28822,0.12021,1.84348,2.96042,1.98503,0.0011713,0.0011713,0.0011713
12,28.4648,0.96118,1.52406,1.26694,0.52518,0.2,0.2316,0.13665,1.69756,3.14863,1.74819,0.00126536,0.00126536,0.00126536
13,30.2525,1.0091,1.56196,1.20761,0.77475,0.34456,0.40345,0.21985,1.67335,2.63611,1.98251,0.00135705,0.00135705,0.00135705
14,32.0009,0.96737,1.38296,1.22901,0.65779,0.4,0.41427,0.18269,1.76251,2.43284,2.62727,0.00144636,0.00144636,0.00144636
15,33.7661,1.00203,1.3982,1.30625,0.73102,0.3,0.3819,0.15763,1.93342,2.56558,2.62387,0.00153329,0.00153329,0.00153329
16,35.5748,0.98373,1.38689,1.25163,0.52812,0.35,0.34847,0.2248,1.47339,2.55299,1.64469,0.00161785,0.00161785,0.00161785
17,37.3653,0.95952,1.27829,1.21275,0.39837,0.55,0.34778,0.20028,1.42967,2.75106,1.73313,0.0016832,0.0016832,0.0016832
18,39.2409,0.98021,1.30328,1.26717,0.31268,0.25,0.21885,0.13133,1.64806,3.41388,1.91576,0.0016634,0.0016634,0.0016634
19,41.3305,1.00632,1.27318,1.2201,0.40776,0.3,0.28544,0.16706,1.70056,3.09507,2.02089,0.0016436,0.0016436,0.0016436
20,43.1948,0.97087,1.28871,1.20632,0.44261,0.3,0.31439,0.18216,1.61692,3.53968,2.03222,0.0016238,0.0016238,0.0016238
21,44.9648,1.00643,1.24057,1.2787,0.62145,0.3,0.3315,0.2051,1.54715,3.28945,1.98006,0.001604,0.001604,0.001604
22,46.6758,0.94287,1.26431,1.21072,0.47411,0.4,0.371,0.23701,1.44432,2.53004,1.76206,0.0015842,0.0015842,0.0015842
23,48.48,0.87983,1.10448,1.20032,0.45737,0.35,0.31222,0.20683,1.43536,2.65312,1.71014,0.0015644,0.0015644,0.0015644
24,50.2481,0.94661,1.22873,1.24493,0.7672,0.5,0.51706,0.23245,1.82786,2.49862,2.08237,0.0015446,0.0015446,0.0015446
25,52.0778,0.90526,1.18421,1.23717,0.74279,0.35,0.34634,0.21143,1.69605,2.34983,1.72912,0.0015248,0.0015248,0.0015248
26,53.8302,0.93244,1.18482,1.24339,0.36351,0.3,0.24577,0.13626,1.70971,2.49008,1.80653,0.001505,0.001505,0.001505
27,55.6569,0.92663,1.06227,1.17851,0.29673,0.3,0.17097,0.10292,1.77501,2.84092,1.80806,0.0014852,0.0014852,0.0014852
28,57.451,0.88087,1.01324,1.12226,0.33328,0.35,0.24532,0.16623,1.62369,2.77704,1.79835,0.0014654,0.0014654,0.0014654
29,59.3107,0.89832,1.10595,1.20411,0.44831,0.35,0.30571,0.21763,1.63939,2.65732,1.85563,0.0014456,0.0014456,0.0014456
30,61.0955,0.93502,1.13092,1.23356,0.61191,0.35,0.34254,0.18262,1.76158,2.45689,2.29886,0.0014258,0.0014258,0.0014258
31,62.9958,0.95457,1.08088,1.23242,0.56189,0.4,0.40199,0.2797,1.5482,2.28599,2.00141,0.001406,0.001406,0.001406
32,64.759,0.88834,1.05108,1.15287,0.95463,0.45,0.48488,0.33775,1.42519,2.08773,1.72559,0.0013862,0.0013862,0.0013862
33,66.6068,0.88668,1.0245,1.18268,0.97433,0.4,0.51136,0.34629,1.21714,2.03425,1.44526,0.0013664,0.0013664,0.0013664
34,68.507,0.83759,0.95128,1.10275,0.76523,0.45,0.48831,0.3107,1.29384,2.14781,1.45402,0.0013466,0.0013466,0.0013466
35,70.5023,0.85933,0.96149,1.18968,0.8457,0.45,0.50685,0.32342,1.36348,2.09957,1.51985,0.0013268,0.0013268,0.0013268
36,72.2666,0.86999,1.02692,1.197,0.76129,0.45,0.59009,0.34612,1.5143,1.78301,1.76288,0.001307,0.001307,0.001307
37,74.0147,0.85271,0.93846,1.1404,0.7381,0.45,0.5518,0.32249,1.50029,1.78833,1.73022,0.0012872,0.0012872,0.0012872
38,75.8201,0.84242,0.93474,1.14454,0.60782,0.4,0.43424,0.26715,1.47145,2.0843,1.80781,0.0012674,0.0012674,0.0012674
39,77.543,0.87146,0.95824,1.16063,0.54682,0.4,0.42476,0.29089,1.35296,2.24872,1.71793,0.0012476,0.0012476,0.0012476
40,79.2845,0.80206,0.89708,1.13051,0.6641,0.45,0.44761,0.26459,1.34418,2.28701,1.63884,0.0012278,0.0012278,0.0012278
41,81.1046,0.82477,0.86388,1.13437,0.56405,0.45,0.45554,0.28017,1.39344,2.10278,1.59825,0.001208,0.001208,0.001208
42,82.9521,0.76606,0.83972,1.11429,0.51151,0.6,0.55013,0.3565,1.45546,1.80198,1.61785,0.0011882,0.0011882,0.0011882
43,84.8021,0.76087,0.84488,1.12226,0.46514,0.75,0.57463,0.39987,1.33198,1.66299,1.57304,0.0011684,0.0011684,0.0011684
44,86.5677,0.83215,0.88392,1.14863,0.58818,0.71453,0.61772,0.44393,1.30683,1.51209,1.53346,0.0011486,0.0011486,0.0011486
45,88.3203,0.76927,0.93131,1.15359,0.6878,0.7,0.65205,0.43881,1.32208,1.52211,1.53994,0.0011288,0.0011288,0.0011288
46,90.0463,0.80211,0.87627,1.13445,0.79728,0.59047,0.65548,0.46238,1.21921,1.40872,1.49266,0.001109,0.001109,0.001109
47,91.8243,0.78497,0.90591,1.09081,0.89746,0.5,0.61183,0.4376,1.21015,1.46012,1.50688,0.0010892,0.0010892,0.0010892
48,93.5196,0.79633,0.83333,1.09102,0.63043,0.55,0.49122,0.34975,1.22773,1.98106,1.44587,0.0010694,0.0010694,0.0010694
49,95.2183,0.72644,0.80654,1.03714,0.62444,0.49887,0.43045,0.29906,1.2183,2.16851,1.4052,0.0010496,0.0010496,0.0010496
50,96.9645,0.72189,0.76416,1.05799,0.67668,0.5,0.42059,0.31188,1.1187,2.30034,1.34496,0.0010298,0.0010298,0.0010298
51,98.7753,0.7025,0.82795,1.05875,0.58651,0.5,0.4556,0.32933,1.10105,2.20384,1.28652,0.00101,0.00101,0.00101
52,100.546,0.71415,0.75061,1.06488,0.78237,0.6,0.58601,0.38207,1.1106,1.95505,1.27034,0.0009902,0.0009902,0.0009902
53,102.354,0.72148,0.75521,1.08531,0.96209,0.5,0.61276,0.39903,1.20011,1.87245,1.35816,0.0009704,0.0009704,0.0009704
54,104.131,0.73507,0.79013,1.054,0.98577,0.55,0.63077,0.4453,1.22769,1.64214,1.47499,0.0009506,0.0009506,0.0009506
55,105.907,0.78364,0.78227,1.11979,0.96813,0.5,0.61011,0.38097,1.22849,1.66026,1.45338,0.0009308,0.0009308,0.0009308
56,107.747,0.70165,0.75536,1.07192,0.88488,0.5,0.5641,0.40909,1.15632,1.56129,1.35055,0.000911,0.000911,0.000911
57,109.709,0.65084,0.70829,1.07886,0.90582,0.55,0.60427,0.46884,1.14683,1.44524,1.32571,0.0008912,0.0008912,0.0008912
58,113.444,0.76307,0.74562,1.09922,0.99248,0.55,0.61946,0.48115,1.10567,1.38627,1.30458,0.0008714,0.0008714,0.0008714
59,115.475,0.68503,0.76088,1.05008,0.99187,0.55,0.60411,0.48381,1.10169,1.39281,1.34738,0.0008516,0.0008516,0.0008516
60,117.412,0.65285,0.65679,1.04779,0.98482,0.55,0.61295,0.47942,1.08336,1.52955,1.37923,0.0008318,0.0008318,0.0008318
61,119.127,0.64229,0.67489,1.02695,0.9888,0.55,0.61602,0.4676,1.12606,1.58978,1.36211,0.000812,0.000812,0.000812
62,120.884,0.669,0.7347,1.05902,0.98013,0.5,0.61508,0.46994,1.11112,1.6074,1.31239,0.0007922,0.0007922,0.0007922
63,122.561,0.66045,0.68373,1.03011,0.97157,0.5,0.61066,0.45176,1.14248,1.69253,1.34998,0.0007724,0.0007724,0.0007724
64,124.424,0.64631,0.71461,1.05092,0.91447,0.53549,0.60822,0.44818,1.17652,1.67154,1.40402,0.0007526,0.0007526,0.0007526
65,126.152,0.67736,0.71473,1.05801,0.82928,0.55,0.59679,0.45364,1.15187,1.66186,1.38332,0.0007328,0.0007328,0.0007328
66,128.035,0.61179,0.66234,1.04901,0.8052,0.62082,0.65809,0.47668,1.13703,1.74099,1.34811,0.000713,0.000713,0.000713
67,129.694,0.59131,0.63723,1.00933,0.96962,0.5,0.60159,0.47757,1.1353,1.65813,1.3324,0.0006932,0.0006932,0.0006932
68,131.424,0.60191,0.63426,1.03134,0.99047,0.45,0.591,0.41191,1.22117,1.63532,1.42731,0.0006734,0.0006734,0.0006734
69,133.124,0.62113,0.64072,1.02826,0.96155,0.45,0.58607,0.418,1.21157,1.56705,1.41279,0.0006536,0.0006536,0.0006536
70,134.906,0.6571,0.6813,1.04966,0.89621,0.5,0.63671,0.47332,1.10714,1.43635,1.36243,0.0006338,0.0006338,0.0006338
71,136.588,0.64128,0.62289,0.98798,0.90823,0.55,0.63764,0.46047,1.17179,1.38464,1.38448,0.000614,0.000614,0.000614
72,138.328,0.58011,0.63099,1.0302,0.98766,0.55,0.63637,0.40134,1.23891,1.44593,1.43561,0.0005942,0.0005942,0.0005942
73,140.111,0.58153,0.64078,0.99138,0.9868,0.55,0.64612,0.40184,1.25548,1.47915,1.49308,0.0005744,0.0005744,0.0005744
74,141.864,0.5481,0.57249,1.00169,0.98492,0.55,0.67861,0.43392,1.23671,1.37912,1.54963,0.0005546,0.0005546,0.0005546
75,143.588,0.5676,0.5708,1.00521,0.98179,0.55,0.68472,0.44971,1.20092,1.31239,1.53754,0.0005348,0.0005348,0.0005348
76,145.354,0.58095,0.57306,1.01192,0.97862,0.55,0.65467,0.46355,1.14645,1.2562,1.39816,0.000515,0.000515,0.000515
77,147.141,0.61183,0.60609,1.01686,0.9829,0.55,0.6357,0.49348,1.04719,1.21738,1.2758,0.0004952,0.0004952,0.0004952
78,148.62,0.62923,0.60527,1.01405,0.98945,0.55,0.63523,0.49737,1.01432,1.21851,1.23965,0.0004754,0.0004754,0.0004754
79,149.981,0.55324,0.55474,0.98704,0.99177,0.55,0.64268,0.4953,1.00742,1.22749,1.21944,0.0004556,0.0004556,0.0004556
80,151.405,0.60394,0.58696,1.02919,1,0.59633,0.64976,0.52917,0.95351,1.17789,1.18195,0.0004358,0.0004358,0.0004358
81,152.74,0.54358,0.51266,0.98488,1,0.59686,0.65457,0.53516,0.94839,1.16552,1.17517,0.000416,0.000416,0.000416
82,154.154,0.55585,0.57758,0.99517,0.97084,0.65,0.66553,0.54435,0.98188,1.10862,1.21325,0.0003962,0.0003962,0.0003962
83,155.579,0.58912,0.59075,0.96955,0.97625,0.65,0.67293,0.54281,1.00666,1.1273,1.23096,0.0003764,0.0003764,0.0003764
84,156.988,0.53548,0.54063,0.97681,1,0.63731,0.68939,0.55166,1.00936,1.15824,1.23962,0.0003566,0.0003566,0.0003566
85,158.488,0.54559,0.56462,0.96547,1,0.64222,0.69028,0.57143,0.99732,1.14625,1.24877,0.0003368,0.0003368,0.0003368
86,159.863,0.52514,0.53191,0.97932,1,0.63711,0.6899,0.56641,0.9986,1.18528,1.25091,0.000317,0.000317,0.000317
87,161.206,0.51152,0.51556,0.96906,1,0.60518,0.69158,0.56298,0.99588,1.19196,1.24357,0.0002972,0.0002972,0.0002972
88,162.628,0.55057,0.52868,1.01052,0.86322,0.65,0.68624,0.56363,0.99992,1.23457,1.23752,0.0002774,0.0002774,0.0002774
89,164.057,0.50331,0.51454,0.97345,0.90024,0.6,0.68257,0.55504,0.99876,1.25016,1.23321,0.0002576,0.0002576,0.0002576
90,165.522,0.4895,0.47163,0.94446,0.97606,0.55,0.66633,0.53491,1.0122,1.31167,1.23698,0.0002378,0.0002378,0.0002378
91,175.901,0.46717,0.56946,0.95817,0.98093,0.55,0.66589,0.53036,1.00455,1.28796,1.23007,0.000218,0.000218,0.000218
92,177.409,0.45622,0.54112,0.95588,0.99037,0.55,0.67534,0.53443,0.98659,1.23847,1.20538,0.0001982,0.0001982,0.0001982
93,178.729,0.42636,0.51098,0.91334,0.99001,0.55,0.67828,0.53845,0.96948,1.20125,1.20656,0.0001784,0.0001784,0.0001784
94,180.151,0.44428,0.5046,0.90481,0.99014,0.55,0.66555,0.52908,0.96784,1.21337,1.20247,0.0001586,0.0001586,0.0001586
95,181.579,0.4109,0.47272,0.92041,0.9908,0.55,0.65926,0.52777,0.96654,1.21859,1.20314,0.0001388,0.0001388,0.0001388
96,183.01,0.38822,0.44717,0.89215,0.99255,0.55,0.65008,0.53306,0.95752,1.23332,1.19073,0.000119,0.000119,0.000119
97,184.453,0.40682,0.47929,0.89572,0.99294,0.55,0.65107,0.54187,0.94879,1.24362,1.18378,9.92e-05,9.92e-05,9.92e-05
98,185.929,0.4164,0.49833,0.92254,0.99363,0.55,0.6468,0.53222,0.94884,1.23768,1.17804,7.94e-05,7.94e-05,7.94e-05
